id,text,created_at,user.id
1219447536261484546,text,2020-01-21 02:32:03+00:00,52902623
1220478077593116672,text,2020-01-23 22:47:03+00:00,848639070
1220911216513540096,text,2020-01-25 03:28:12+00:00,632240327
1221336632168787969,text,2020-01-26 07:38:39+00:00,1470913640
1221506320249118722,text,2020-01-26 18:52:55+00:00,2160436329
1221595574006206464,text,2020-01-27 00:47:35+00:00,1028862830454292481
1222879953169059840,text,2020-01-30 13:51:15+00:00,999193670
1223015416613785600,text,2020-01-30 22:49:32+00:00,2363130901
1223275789082333184,text,2020-01-31 16:04:10+00:00,96498932
1224226973129625600,text,2020-02-03 07:03:50+00:00,1053091779120193536
1226975371335290885,text,2020-02-10 21:04:59+00:00,935192785824681984
1227603849273368576,text,2020-02-12 14:42:20+00:00,1906142208
1228800962082562048,text,2020-02-15 21:59:14+00:00,3245372163
1228899903943790593,text,2020-02-16 04:32:23+00:00,1071675172267016192
1229995873926406146,text,2020-02-19 05:07:23+00:00,985578295386300416
1231666920581193733,text,2020-02-23 19:47:31+00:00,1226786239313043462
1232455833125978112,text,2020-02-26 00:02:23+00:00,283794910
1232660408626024449,text,2020-02-26 13:35:17+00:00,1196492171932815360
1232846371977170944,text,2020-02-27 01:54:14+00:00,1104190369
1233552026509959168,text,2020-02-29 00:38:16+00:00,189946348
1233719272842592256,text,2020-02-29 11:42:50+00:00,1921048890
1233898444625973249,text,2020-02-29 23:34:48+00:00,705514529208139777
1233898834205511682,text,2020-02-29 23:36:21+00:00,705514529208139777
1234087653173272577,text,2020-03-01 12:06:39+00:00,262638411
1234441483522105345,text,2020-03-02 11:32:39+00:00,727645770279727104
1234518855525052418,text,2020-03-02 16:40:06+00:00,44518508
1234529219981586432,text,2020-03-02 17:21:17+00:00,29008821
1234709979036188672,text,2020-03-03 05:19:33+00:00,1229117650225131520
1234733737641775104,text,2020-03-03 06:53:57+00:00,2874242762
1234834352581726209,text,2020-03-03 13:33:46+00:00,92005907
1234935947445374983,text,2020-03-03 20:17:28+00:00,35530645
1235312790354767872,text,2020-03-04 21:14:54+00:00,822643958132129795
1235667661687640064,text,2020-03-05 20:45:02+00:00,1002404178256322560
1235765447775186945,text,2020-03-06 03:13:36+00:00,1070872285026836480
1235825501232488448,text,2020-03-06 07:12:14+00:00,1177212342205112320
1235941248831229952,text,2020-03-06 14:52:11+00:00,4866790197
1236057733973118977,text,2020-03-06 22:35:03+00:00,1181617245178548225
1236077059690106882,text,2020-03-06 23:51:50+00:00,3177824426
1236081849295757312,text,2020-03-07 00:10:52+00:00,16975269
1236236689607208962,text,2020-03-07 10:26:09+00:00,1152533205393842178
1236270163487387648,text,2020-03-07 12:39:10+00:00,176601741
1236447993324351490,text,2020-03-08 00:25:48+00:00,1613976812
1236905749688856578,text,2020-03-09 06:44:45+00:00,44341126
1236974363045515264,text,2020-03-09 11:17:24+00:00,28222434
1237063325437046787,text,2020-03-09 17:10:54+00:00,1529052937
1237131330686611457,text,2020-03-09 21:41:08+00:00,115965625
1237140025298620418,text,2020-03-09 22:15:41+00:00,2270044586
1237147903543689217,text,2020-03-09 22:46:59+00:00,435448167
1237156391003004931,text,2020-03-09 23:20:43+00:00,1121883811204214784
1237216488831864832,text,2020-03-10 03:19:31+00:00,1042940098172510209
1237488946281619456,text,2020-03-10 21:22:10+00:00,1082630150
1237507082770882560,text,2020-03-10 22:34:14+00:00,61183568
1237507548413972480,text,2020-03-10 22:36:05+00:00,22460658
1237511657410064384,text,2020-03-10 22:52:25+00:00,2219407977
1237522773775282176,text,2020-03-10 23:36:35+00:00,890682052684783617
1237524149116891136,text,2020-03-10 23:42:03+00:00,55186601
1237573850386190338,text,2020-03-11 02:59:33+00:00,37628540
1237575214050861059,text,2020-03-11 03:04:58+00:00,923225298539343878
1237581148827422721,text,2020-03-11 03:28:33+00:00,414946220
1237585314098466818,text,2020-03-11 03:45:06+00:00,1133862555179462656
1237591463342399489,text,2020-03-11 04:09:32+00:00,34652780
1237598845527150594,text,2020-03-11 04:38:52+00:00,77696645
1237617466269995009,text,2020-03-11 05:52:52+00:00,2429410620
1237628676059082758,text,2020-03-11 06:37:25+00:00,1015968025
1237630108929835009,text,2020-03-11 06:43:06+00:00,1109888628661067776
1237641488361717761,text,2020-03-11 07:28:19+00:00,4852562747
1237649115183493120,text,2020-03-11 07:58:38+00:00,1174932850967117824
1237652177377779712,text,2020-03-11 08:10:48+00:00,984688754
1237653023767310336,text,2020-03-11 08:14:10+00:00,15763743
1237653974943174657,text,2020-03-11 08:17:56+00:00,1225712136099434496
